N,adept,adolc,baseline,cppad,fastad,sacado,stan
2,378.473,6157.96,24.7054,112.13,79.2733,72.7451,298.594
2,379.12300000000005,6173.06,24.7118,112.10600000000001,79.2255,72.7449,298.579
2,379.79699999999997,6176.35,24.7248,112.21799999999999,79.3363,72.7425,298.351
8,486.147,6590.39,31.7483,290.621,97.6785,395.452,395.783
8,486.509,6562.54,31.7558,290.687,97.6865,396.165,395.055
32,1088.09,9101.79,43.3184,1610.65,145.007,2756.0,606.029
50,1565.87,12523.7,72.6889,2908.92,268.915,6022.02,860.933
128,4327.2,41687.2,170.104,9457.61,591.861,32594.7,1985.97
242,10090.4,97309.5,382.652,23907.5,1293.77,84008.1,3752.11
512,27665.1,227497.0,491.904,70122.2,1767.52,273602.0,6890.03
968,66102.3,586050.0,1188.9,179506.0,4037.34,770138.0,14080.7
2048,191921.0,1602350.0,2278.33,570032.0,7874.82,2504550.0,28890.3
4050,539457.0,4460560.0,6100.43,1597880.0,20268.1,13278800.0,62067.9
8192,1596410.0,12783600.0,14747.0,4747980.0,48066.7,43982300.0,134887.0
16200,4758590.0,48514300.0,41225.0,14831200.0,131168.0,123762000.0,320690.0
32768,20502000.0,188013000.0,99986.0,56622300.0,331355.0,504013000.0,784779.0
65522,77384300.0,502044000.0,294647.0,163551000.0,965127.0,1409740000.0,1999220.0
