N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,87.7588,6230.9,1.3333899999999999,131.28,7.261430000000001,126.51299999999999,96.8766
2,92.3703,6230.47,2.6545900000000002,157.232,9.46838,181.40900000000002,104.23200000000001
4,98.3703,6368.48,2.10341,221.525,5.8425,265.531,122.615
8,112.111,6615.0,3.18246,353.92199999999997,7.16087,438.23,148.86700000000002
16,147.65,6781.54,4.097980000000001,569.605,10.5864,792.096,210.007
32,221.06400000000002,7447.32,5.606330000000001,1032.23,17.3732,1484.92,351.99
64,367.241,9802.75,8.77485,1955.85,24.6571,3061.15,570.075
128,672.805,13369.5,15.6792,3729.93,54.768,7035.22,1060.05
256,1250.19,20504.7,32.1952,7321.07,101.42399999999999,14783.0,2044.46
512,2388.39,34152.8,63.7988,14468.2,205.485,30521.7,4326.74
1024,4794.72,61954.5,141.395,28577.7,381.64,61619.4,9424.95
2048,9571.44,118402.0,297.666,57182.9,736.712,129846.0,18888.4
4096,18905.4,235121.0,616.476,113651.0,2004.53,295921.0,37286.2
8192,37976.8,476954.0,1244.73,231101.0,4202.61,619050.0,74898.1
16384,75791.5,1058240.0,2494.83,483594.0,8485.16,1334110.0,158204.0
