N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,21.0459,5739.53,1.06064,102.12299999999999,8.385010000000001,7.8346100000000005,33.3769
2,29.4411,5762.39,1.8587599999999997,117.883,10.0777,22.593000000000004,40.513000000000005
4,45.2787,5792.13,1.32647,148.38,12.4642,54.2388,59.0645
8,77.5655,5983.39,1.88861,239.301,16.4618,130.69899999999998,96.2146
16,147.835,6182.39,2.38765,373.842,25.6259,249.511,166.30900000000003
32,294.277,6580.26,3.5107800000000005,625.995,50.3334,520.423,316.127
64,579.8919999999999,7396.39,5.49412,1159.29,88.7295,1047.3,611.689
128,1136.14,10037.4,11.1671,2233.84,211.25099999999998,2108.01,1209.81
256,2236.44,13894.2,24.7182,4226.84,413.974,4961.79,2368.06
512,4454.72,22481.6,56.5101,8412.84,820.41,10940.8,5101.75
1024,9748.44,38851.5,134.159,16880.5,1622.39,22679.4,10877.5
2048,19616.8,71214.4,290.775,33833.0,3292.59,46097.0,21987.4
4096,46499.5,144184.0,606.872,74326.5,6793.53,106471.0,50198.7
8192,75097.7,280545.0,1235.59,141163.0,13726.1,221787.0,96363.2
16384,136560.0,662562.0,2485.59,282018.0,27542.0,468879.0,196178.0
