N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,21.521,5712.35,0.79579,99.3036,5.311030000000001,11.255,40.2012
2,28.6105,5739.91,0.928312,116.307,7.12988,19.7756,46.3732
4,40.4257,5781.96,1.32728,155.642,10.2291,35.3078,63.9072
8,69.7118,5974.27,2.4072400000000003,236.793,18.1546,70.6736,102.24
16,127.035,6115.71,5.1353,389.474,40.9981,133.969,164.708
32,246.063,6426.33,13.7069,633.019,79.0822,263.258,308.86
64,488.01599999999996,7039.86,37.1944,1155.12,148.64700000000002,537.701,570.712
128,970.716,9291.92,87.7258,2209.33,286.302,1067.14,1114.14
256,1923.32,12554.5,221.97099999999998,4223.22,571.211,2165.11,2242.14
512,3779.77,18983.0,493.31300000000005,8356.48,1127.56,5100.1,4812.63
1024,8200.63,31512.4,1035.52,16662.2,2256.77,11061.7,10196.0
2048,16511.4,56970.4,2120.73,33724.5,4569.73,22460.6,20367.3
4096,42208.2,115185.0,7734.14,74155.4,13500.5,51266.1,49367.8
8192,65546.9,219055.0,12409.9,140227.0,20929.6,101966.0,97200.8
16384,116111.0,539082.0,21016.9,282931.0,40381.3,216424.0,188010.0
