N,adept,adolc,baseline,cppad,fastad,sacado,stan
12,52757.7,412712.0,1416.0,139694.0,3780.97,546684.0,121342
22,86153.7,711619.0,2415.02,269088.0,5384.24,974733.0,140389
32,120961.0,1007680.0,3545.34,399591.0,7999.7,1429450.0,159156
42,171292.0,1312920.0,4517.74,528303.0,9580.57,1910500.0,181565
52,203335.0,1628000.0,5681.44,661198.0,12147.4,2453560.0,201900
62,243681.0,1946480.0,6649.01,786695.0,13858.3,3244360.0,233080
72,281364.0,2248120.0,7858.32,914713.0,16406.5,4192350.0,249525
82,316467.0,2555470.0,8786.52,1040190.0,18068.0,5457960.0,283748
92,357227.0,2865440.0,10400.7,1169300.0,21983.1,7227890.0,307479
102,398747.0,3173390.0,12591.5,1300490.0,23602.8,8995180.0,343416
112,439847.0,3488690.0,14867.7,1432670.0,26071.4,10416800.0,365314
122,484796.0,3790110.0,16623.5,1565110.0,31600.9,11750200.0,452616
132,518269.0,4089500.0,18904.1,1690830.0,53370.3,12989300.0,451894
142,562706.0,4420370.0,22115.0,1821800.0,48644.1,14309400.0,484082
152,605773.0,4724460.0,23576.0,1954280.0,59549.5,15623800.0,514011
