N,adept,adolc,baseline,cppad,fastad,sacado,stan
7,781.3589999999999,7379.18,147.351,684.95,230.03599999999997,932.922,463.50300000000004
7,779.029,7346.25,147.627,697.1289999999999,230.08,933.985,462.95300000000003
7,777.0980000000001,7318.14,149.429,673.2710000000001,232.22400000000002,924.297,463.959
11,917.988,7940.23,211.403,1218.83,294.10200000000003,1488.33,624.872
19,1196.96,8908.31,348.543,1913.27,420.444,2675.6,959.38
35,1846.15,11894.9,643.845,3355.48,775.757,5383.34,1669.03
67,3002.0,16594.1,1414.19,6452.97,1383.06,10884.8,3005.75
131,5337.81,25871.3,2647.28,12454.2,2581.59,22238.8,5795.34
259,10383.4,44833.0,5726.54,24750.8,5289.0,44260.9,11537.8
515,19766.5,83576.1,11796.3,48962.0,10446.4,90139.1,23372.3
1027,39784.6,159314.0,22494.9,94396.5,20559.1,197927.0,47524.2
2051,78827.7,315298.0,50383.0,194942.0,44639.1,439915.0,98053.2
4099,165891.0,649376.0,100883.0,385195.0,90677.8,932525.0,198091.0
8195,323925.0,1267450.0,202732.0,816950.0,187289.0,1971490.0,420230.0
16387,665242.0,2596140.0,349976.0,1618570.0,345070.0,5084160.0,888636.0
