N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,17.6599,5737.58,1.19448,98.1362,6.37622,7.78936,36.0754
2,20.8933,5734.34,2.2109799999999997,115.384,7.86221,24.1822,39.7788
4,24.4717,5791.37,1.59514,152.036,5.57258,56.8954,48.9377
8,35.4866,6019.92,2.26619,239.058,6.6434,125.402,65.2321
16,66.1303,6245.99,2.66879,369.969,8.01778,273.683,98.7065
32,129.093,6602.04,3.51934,635.399,14.89,543.669,169.025
64,251.84099999999998,7361.09,5.09204,1164.54,18.6106,1096.08,312.286
128,516.315,10026.6,9.481489999999999,2210.33,44.202,2201.24,630.317
256,1024.12,13912.7,23.2351,4259.51,85.2327,5092.17,1200.14
512,2018.89,22353.7,56.3787,8436.63,174.261,10976.3,2567.36
1024,4093.64,38605.4,134.137,16728.4,326.508,22903.7,6051.84
2048,8297.72,70274.7,290.73400000000004,33857.6,632.719,45956.6,12045.8
4096,16465.7,135030.0,607.071,66310.6,1284.91,94178.2,24366.0
8192,33021.5,275513.0,1233.51,132453.0,3309.3,211760.0,48441.6
16384,66271.5,653124.0,2481.71,270622.0,6661.7,458061.0,98489.1
