N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,19.979,5720.41,1.06041,100.479,4.3526,13.4855,37.5684
2,27.2009,5725.77,1.99741,113.18299999999999,4.95279,20.546999999999997,45.5782
4,40.5517,5734.17,1.32572,141.29,6.267440000000001,38.0933,62.8848
8,69.7951,5874.88,2.12343,225.953,9.78531,75.2582,98.294
16,128.265,6095.61,4.6151800000000005,350.54699999999997,18.9411,154.016,163.363
32,251.658,6386.41,13.2914,585.766,47.2891,288.702,308.034
64,489.713,6918.47,36.7656,1066.14,105.212,575.5740000000001,568.638
128,946.0930000000001,9161.14,86.0796,2003.37,204.394,1128.04,1080.74
256,1880.42,12128.5,221.015,3864.38,415.467,2281.93,2164.51
512,3683.37,18223.9,491.991,7618.8,815.549,5282.94,4742.63
1024,7715.48,30744.7,1033.99,15167.1,1722.71,11347.3,10100.2
2048,16107.1,54700.7,2118.42,30616.1,3527.57,23243.2,20482.6
4096,31493.1,102882.0,4289.01,59959.6,7053.0,46773.0,41004.9
8192,62586.0,207055.0,8634.52,119724.0,14574.9,96760.5,82590.6
16384,133042.0,520453.0,17306.3,245859.0,29430.3,214843.0,177881.0
